filename,image_path,tags,thumbnail_path,original_filepath,tags
_1032148_wave_generator_inf300.gif,processed/_1032148_wave_generator_inf300.gif,"chute, wave, tsunami, islay limpet, islay, wave power, wave farm, power station, energy supply, wave and tidal, kevin lindegaard's pics, how wave devices work",thumbnails/_1032148_wave_generator_inf300.gif,S:/Comms/Images/Stock images [unrestricted]/Energy Supply/Wave and Tidal/Kevin Lindegaard's pics/How wave devices work/_1032148_wave_generator_inf300.gif,"chute, wave, islay limpet, wave power, power station, energy supply, wave and tidal, kevin lindegaard's pics"
_6427129096.jpg,processed/_6427129096.jpg,"technology, machine, electrical cable, electrical supply, wire, electronics, 1d barcode, energy use, energy monitors, meters & bills, gas meters",thumbnails/_6427129096.jpg,"S:/Comms/Images/Stock images [unrestricted]/Energy Use/Energy Monitors, Meters & Bills/gas meters/_6427129096.jpg","technology, machine, electrical cable, electrical supply, wire, electronics, 1d barcode, energy use, energy monitors, meters & bills, gas meters"
_80A4608 (Medium).jpg,processed/_80A4608 (Medium).jpg,"happiness, child, fun, windmill, wind, light-hearted, person, pinwheel, clothing, energy supply, avonmouth, triodos open day at avonmouth",thumbnails/_80A4608 (Medium).jpg,S:/Comms/Images/Stock images [unrestricted]/Energy Supply/Wind/avonmouth/triodos open day at avonmouth/_80A4608 (Medium).jpg,"happiness, child, fun, windmill, wind, light-hearted, person, pinwheel, clothing, energy supply, avonmouth, triodos open day at avonmouth"
_80A7505.jpg,processed/_80A7505.jpg,"arm, hand, outerwear, shirt, jacket, light-hearted, person, clothing, energy supply, wind, avonmouth, triodos open day at avonmouth",thumbnails/_80A7505.jpg,S:/Comms/Images/Stock images [unrestricted]/Energy Supply/Wind/avonmouth/triodos open day at avonmouth/_80A7505.jpg,"arm, hand, outerwear, shirt, jacket, light-hearted, person, clothing, energy supply, wind, avonmouth, triodos open day at avonmouth"
_A9U0004.jpg,processed/_A9U0004.jpg,"building insulation, building material, beam, natural material, plank, light-hearted, person, outerwear, clothing, top, houses and buildings, insulation, loft, possibly also est images",thumbnails/_A9U0004.jpg,S:/Comms/Images/Stock images [unrestricted]/Houses and buildings/Insulation/Loft/Possibly also EST images/_A9U0004.jpg,"building insulation, building material, beam, natural material, plank, light-hearted, person, outerwear, clothing, top, houses and buildings, insulation, loft, possibly also est images"
_A9U0012.jpg,processed/_A9U0012.jpg,"machine, building material, rust, pipe, tool, airsoft, gun, drill, helmet, person, outerwear, houses and buildings, insulation, cavity wall, est images",thumbnails/_A9U0012.jpg,S:/Comms/Images/Stock images [unrestricted]/Houses and buildings/Insulation/Cavity Wall/EST images/_A9U0012.jpg,"machine, building material, rust, pipe, tool, airsoft, gun, drill, helmet, person, outerwear, houses and buildings, insulation, cavity wall, est images"
_A9U0041.jpg,processed/_A9U0041.jpg,"personal protective equipment, hard hat, high-visibility clothing, workwear, construction worker, brickwork, bricklayer, construction, laborer, helmet, person, pants, clothing, houses and buildings, insulation, cavity wall, est images",thumbnails/_A9U0041.jpg,S:/Comms/Images/Stock images [unrestricted]/Houses and buildings/Insulation/Cavity Wall/EST images/_A9U0041.jpg,"personal protective equipment, hard hat, high-visibility clothing, workwear, construction worker, brickwork, bricklayer, construction, laborer, helmet, person, pants, clothing, houses and buildings, insulation, cavity wall, est images"
_A9U0124.jpg,processed/_A9U0124.jpg,"high-visibility clothing, workwear, personal protective equipment, hard hat, construction worker, heat, guide, construction, heat emitter, equal, helmet, person, ladder, houseplant, houses and buildings, insulation, cavity wall, est images",thumbnails/_A9U0124.jpg,S:/Comms/Images/Stock images [unrestricted]/Houses and buildings/Insulation/Cavity Wall/EST images/_A9U0124.jpg,"high-visibility clothing, workwear, personal protective equipment, hard hat, construction worker, heat, guide, construction, equal, helmet, person, ladder, houseplant, houses and buildings, insulation, cavity wall, est images"
_Cotswoldgate16.jpg,processed/_Cotswoldgate16.jpg,"bathroom, toilet seat, plumbing fixture, interior design, toilet, window, window treatment, bathroom sink, sink, towel, houses and buildings, ventilation, mechanical ventilation",thumbnails/_Cotswoldgate16.jpg,S:/Comms/Images/Stock images [unrestricted]/Houses and buildings/Ventilation/mechanical ventilation/_Cotswoldgate16.jpg,"bathroom, plumbing fixture, interior design, toilet, window, window treatment, sink, towel, houses and buildings, ventilation, mechanical ventilation"
_Cotswoldgate17-crop.jpg,processed/_Cotswoldgate17-crop.jpg,"ceiling, smoke detector, light fixture, fire alarm system, silver, bathroom, ventilation, heat recovery ventilation, towel, kitchen, lighting, houses and buildings, mechanical ventilation",thumbnails/_Cotswoldgate17-crop.jpg,S:/Comms/Images/Stock images [unrestricted]/Houses and buildings/Ventilation/mechanical ventilation/_Cotswoldgate17-crop.jpg,"ceiling, light fixture, silver, bathroom, ventilation, heat recovery ventilation, towel, kitchen, lighting, houses and buildings, mechanical ventilation"
_Cotswoldgate17.jpg,processed/_Cotswoldgate17.jpg,"wall, interior design, ceiling, flooring, plumbing fixture, bathroom, ventilation, heat recovery ventilation, kitchen, fan, towel, houses and buildings, mechanical ventilation",thumbnails/_Cotswoldgate17.jpg,S:/Comms/Images/Stock images [unrestricted]/Houses and buildings/Ventilation/mechanical ventilation/_Cotswoldgate17.jpg,"wall, interior design, ceiling, flooring, plumbing fixture, bathroom, ventilation, heat recovery ventilation, kitchen, fan, towel, houses and buildings, mechanical ventilation"
_MG_2522.jpg,processed/_MG_2522.jpg,"sash window, daylighting, molding, window, room, floor, houses and buildings, insulation, secondary glazing",thumbnails/_MG_2522.jpg,S:/Comms/Images/Stock images [unrestricted]/Houses and buildings/Insulation/Secondary Glazing/_MG_2522.jpg,"sash window, daylighting, molding, window, room, floor, houses and buildings, insulation, secondary glazing"
_MG_2550.jpg,processed/_MG_2550.jpg,"wall, wood, ceiling, molding, grey, ventilation, bathroom, room, houses and buildings, insulation, secondary glazing",thumbnails/_MG_2550.jpg,S:/Comms/Images/Stock images [unrestricted]/Houses and buildings/Insulation/Secondary Glazing/_MG_2550.jpg,"wall, wood, ceiling, molding, grey, ventilation, bathroom, room, houses and buildings, insulation, secondary glazing"
001.JPG,processed/001.JPG,"wood, ceiling, brown, wood stain, hardwood, houses and buildings, housing types, poor housing, horrible house",thumbnails/001.JPG,S:/Comms/Images/Stock images [unrestricted]/Houses and buildings/housing types/poor housing/Horrible House/001.JPG,"wood, ceiling, brown, wood stain, hardwood, houses and buildings, housing types, poor housing, horrible house"
002.JPG,processed/002.JPG,"technology, machine, wire, room, houses and buildings, housing types, poor housing, horrible house",thumbnails/002.JPG,S:/Comms/Images/Stock images [unrestricted]/Houses and buildings/housing types/poor housing/Horrible House/002.JPG,"technology, machine, wire, room, houses and buildings, housing types, poor housing, horrible house"
003.JPG,processed/003.JPG,"pipe, electrical cable, plumbing, machine, electrical wiring, /m/083vt, wood, box, shipping box, houses and buildings, housing types, poor housing, horrible house",thumbnails/003.JPG,S:/Comms/Images/Stock images [unrestricted]/Houses and buildings/housing types/poor housing/Horrible House/003.JPG,"pipe, electrical cable, plumbing, machine, electrical wiring, /m/083vt, wood, box, shipping box, houses and buildings, housing types, poor housing, horrible house"
0036616_5m-mitsubishi-i-miev-charging-cable-32acoiled.jpg,processed/0036616_5m-mitsubishi-i-miev-charging-cable-32acoiled.jpg,"electrical cable, hose, wire, home appliance, bracelet, rubber band, infant, walking, spring, transport, cars, electric cars",thumbnails/0036616_5m-mitsubishi-i-miev-charging-cable-32acoiled.jpg,S:/Comms/Images/Stock images [unrestricted]/Transport/cars/electric cars/0036616_5m-mitsubishi-i-miev-charging-cable-32acoiled.jpg,"electrical cable, hose, wire, home appliance, bracelet, infant, walking, spring, transport, cars, electric cars"
004.JPG,processed/004.JPG,"pipe, building material, plumbing, plaster, pipe fitting, houses and buildings, housing types, poor housing, horrible house",thumbnails/004.JPG,S:/Comms/Images/Stock images [unrestricted]/Houses and buildings/housing types/poor housing/Horrible House/004.JPG,"pipe, building material, plumbing, plaster, houses and buildings, housing types, poor housing, horrible house"
005.JPG,processed/005.JPG,"ceiling, plaster, paint, stain, houses and buildings, housing types, poor housing, horrible house",thumbnails/005.JPG,S:/Comms/Images/Stock images [unrestricted]/Houses and buildings/housing types/poor housing/Horrible House/005.JPG,"ceiling, plaster, paint, stain, houses and buildings, housing types, poor housing, horrible house"
007.JPG,processed/007.JPG,"floor, flooring, dog, cat, room, jean sport aviation center, houses and buildings, housing types, poor housing, horrible house",thumbnails/007.JPG,S:/Comms/Images/Stock images [unrestricted]/Houses and buildings/housing types/poor housing/Horrible House/007.JPG,"floor, flooring, dog, cat, room, jean sport aviation center, houses and buildings, housing types, poor housing, horrible house"
008.JPG,processed/008.JPG,"floor, pipe, electrical cable, plumbing, /m/083vt, jean sport aviation center, ceiling, wood, houses and buildings, housing types, poor housing, horrible house",thumbnails/008.JPG,S:/Comms/Images/Stock images [unrestricted]/Houses and buildings/housing types/poor housing/Horrible House/008.JPG,"floor, pipe, electrical cable, plumbing, /m/083vt, jean sport aviation center, ceiling, wood, houses and buildings, housing types, poor housing, horrible house"
010.JPG,processed/010.JPG,"hard hat, high-visibility clothing, construction, blue-collar worker, boat, person, clothing, energy supply, hydro, bha",thumbnails/010.JPG,S:/Comms/Images/Stock images [unrestricted]/Energy Supply/Hydro/BHA/010.JPG,"hard hat, high-visibility clothing, construction, blue-collar worker, boat, person, clothing, energy supply, hydro, bha"
010.JPG,processed/010.JPG,"hard hat, high-visibility clothing, construction, blue-collar worker, boat, person, clothing, energy supply, hydro, bha",thumbnails/010.JPG,S:/Comms/Images/Stock images [unrestricted]/Houses and buildings/housing types/poor housing/Horrible House/010.JPG,"hard hat, high-visibility clothing, construction, blue-collar worker, boat, person, clothing, energy supply, hydro, bha"
0108-post-it-note-reminder.jpg,processed/0108-post-it-note-reminder.jpg,"orange, volkswagen, post-it note, varied, sugar paper, post-it, objects, household",thumbnails/0108-post-it-note-reminder.jpg,S:/Comms/Images/Stock images [unrestricted]/Objects/Household/0108-post-it-note-reminder.jpg,"orange, volkswagen, post-it note, sugar paper, objects, household"
011.JPG,processed/011.JPG,"public space, walking, tree, person, jeans, clothing, energy supply, anaerobic digestion, dairy farm ad (2012-07-08 kemble)",thumbnails/011.JPG,S:/Comms/Images/Stock images [unrestricted]/Energy Supply/Anaerobic Digestion/Dairy farm AD (2012-07-08 Kemble)/011.JPG,"public space, walking, tree, person, jeans, clothing, energy supply, anaerobic digestion, dairy farm ad (2012-07-08 kemble)"
011.JPG,processed/011.JPG,"public space, walking, tree, person, jeans, clothing, energy supply, anaerobic digestion, dairy farm ad (2012-07-08 kemble)",thumbnails/011.JPG,S:/Comms/Images/Stock images [unrestricted]/Houses and buildings/housing types/poor housing/Horrible House/011.JPG,"public space, walking, tree, person, jeans, clothing, energy supply, anaerobic digestion, dairy farm ad (2012-07-08 kemble)"
012.JPG,processed/012.JPG,"soil, tarpaulin, sand, energy supply, anaerobic digestion, dairy farm ad (2012-07-08 kemble)",thumbnails/012.JPG,S:/Comms/Images/Stock images [unrestricted]/Energy Supply/Anaerobic Digestion/Dairy farm AD (2012-07-08 Kemble)/012.JPG,"soil, tarpaulin, sand, energy supply, anaerobic digestion, dairy farm ad (2012-07-08 kemble)"
013.JPG,processed/013.JPG,"soil, dirt road, sand, tree, energy supply, anaerobic digestion, dairy farm ad (2012-07-08 kemble)",thumbnails/013.JPG,S:/Comms/Images/Stock images [unrestricted]/Energy Supply/Anaerobic Digestion/Dairy farm AD (2012-07-08 Kemble)/013.JPG,"soil, dirt road, sand, tree, energy supply, anaerobic digestion, dairy farm ad (2012-07-08 kemble)"
014.JPG,processed/014.JPG,"dairy cattle, bovinae, working animal, dairy, terrestrial animal, herd, cattle, energy supply, anaerobic digestion, dairy farm ad (2012-07-08 kemble)",thumbnails/014.JPG,S:/Comms/Images/Stock images [unrestricted]/Energy Supply/Anaerobic Digestion/Dairy farm AD (2012-07-08 Kemble)/014.JPG,"dairy cattle, bovinae, working animal, dairy, terrestrial animal, herd, cattle, energy supply, anaerobic digestion, dairy farm ad (2012-07-08 kemble)"
014.JPG,processed/014.JPG,"dairy cattle, bovinae, working animal, dairy, terrestrial animal, herd, cattle, energy supply, anaerobic digestion, dairy farm ad (2012-07-08 kemble)",thumbnails/014.JPG,S:/Comms/Images/Stock images [unrestricted]/Houses and buildings/housing types/poor housing/Horrible House/014.JPG,"dairy cattle, bovinae, working animal, dairy, terrestrial animal, herd, cattle, energy supply, anaerobic digestion, dairy farm ad (2012-07-08 kemble)"
01400005.jpg,processed/01400005.jpg,"wood, plank, hardwood, wood stain, natural material, insulation, thermal insulation, vapor barrier, glass wool, roof insulation, houses and buildings, loft, possibly also est images",thumbnails/01400005.jpg,S:/Comms/Images/Stock images [unrestricted]/Houses and buildings/Insulation/Loft/Possibly also EST images/01400005.jpg,"wood, plank, hardwood, wood stain, natural material, insulation, thermal insulation, vapor barrier, glass wool, roof insulation, houses and buildings, loft, possibly also est images"
01400006.jpg,processed/01400006.jpg,"electronic device, electronics, home appliance, measuring instrument, thermostat, 07059, nintendo switch, energy use, heating-systems, heating controls, est images",thumbnails/01400006.jpg,S:/Comms/Images/Stock images [unrestricted]/Energy Use/heating-systems/Heating Controls/EST images/01400006.jpg,"electronic device, electronics, home appliance, measuring instrument, thermostat, 07059, nintendo switch, energy use, heating-systems, heating controls, est images"
